Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
types/ByteArray/Take/bs200/UArray_W8,1.0741541915017875e-8,1.0571631934904764e-8,1.094657296515129e-8,6.575331345926181e-10,5.032955941736435e-10,9.84716807331962e-10
types/ByteArray/Take/bs200/ByteString,1.0525611364395443e-8,1.0374926577793944e-8,1.0687173153076094e-8,5.487497094294195e-10,4.554309609942942e-10,6.788047189241502e-10
types/ByteArray/Take/bs2000/UArray_W8,1.0780146224062373e-8,1.0625180229937085e-8,1.0964999191510611e-8,5.749390316288781e-10,5.047297515182875e-10,6.814318670311199e-10
types/ByteArray/Take/bs2000/ByteString,1.0524726402170216e-8,1.0360494794350906e-8,1.0816391696201631e-8,7.122820027041207e-10,5.452148376306336e-10,1.0182789186946867e-9
types/ByteArray/Take/bs20/UArray_W8,1.0787092693849895e-8,1.058803836964192e-8,1.1015501999271051e-8,6.609490735809596e-10,5.390864810521283e-10,8.437701333278986e-10
types/ByteArray/Take/bs20/ByteString,1.0213457023243324e-8,1.0084422346751813e-8,1.0377829068567691e-8,4.949151470072378e-10,3.697462829121947e-10,7.559646441531249e-10
types/ByteArray/Take/bs200/UArray_W8,1.056603238735647e-8,1.0412983829652354e-8,1.0748488484974673e-8,5.480857577125239e-10,4.442281905289203e-10,7.990459085467852e-10
types/ByteArray/Take/bs200/ByteString,1.0434215996994335e-8,1.0267756412800312e-8,1.0605269683591036e-8,5.571078179089874e-10,4.687756373281629e-10,6.569202417243236e-10
types/ByteArray/Take/bs2000/UArray_W8,1.0688472998547583e-8,1.053603417360076e-8,1.0892129816664914e-8,5.752550143757471e-10,4.521276130164091e-10,8.391371750325075e-10
types/ByteArray/Take/bs2000/ByteString,1.0238675524776848e-8,1.0104978145332416e-8,1.0391443598449454e-8,4.6066696265003845e-10,4.022064488448022e-10,5.620868197972608e-10
types/ByteArray/BreakElem/bs20/UArray_W8,2.7984991104635852e-8,2.7554424644001518e-8,2.8481546430437945e-8,1.5118514221463739e-9,1.2787525034575208e-9,1.7758646073060576e-9
types/ByteArray/BreakElem/bs20/ByteString,6.933820436721662e-8,6.812889694111129e-8,7.065704163765119e-8,4.246971366047724e-9,3.529550588236446e-9,4.981479904803928e-9
types/ByteArray/BreakElem/bs200/UArray_W8,2.8430366550617468e-8,2.8026966106932774e-8,2.9024257496832583e-8,1.6261553229263095e-9,1.26840813751224e-9,2.2535129022720965e-9
types/ByteArray/BreakElem/bs200/ByteString,6.994738820268204e-8,6.881133764028307e-8,7.1095027797517e-8,3.831882287419998e-9,3.2867965543734487e-9,4.483326454794359e-9
types/ByteArray/BreakElem/bs2000/UArray_W8,2.845143726220605e-8,2.8102054231657585e-8,2.89869772251064e-8,1.4256579639117134e-9,1.1748625510476625e-9,1.8208622745024854e-9
types/ByteArray/BreakElem/bs2000/ByteString,6.859684009298835e-8,6.752263790063292e-8,6.989007678955858e-8,4.034918630909011e-9,3.4578867952693476e-9,4.746318472291488e-9
types/ByteArray/BreakElem/bs20/UArray_W8,2.8219302328296596e-8,2.7798159485037674e-8,2.8823945349315838e-8,1.6722549418717676e-9,1.3000808711726634e-9,2.585347125558421e-9
types/ByteArray/BreakElem/bs20/ByteString,7.231781335994511e-8,7.11306135807252e-8,7.354313146379548e-8,4.086013886150758e-9,3.5717599635409264e-9,4.802644459151139e-9
types/ByteArray/BreakElem/bs200/UArray_W8,1.548463860525258e-7,1.522608084959444e-7,1.5795679864146737e-7,9.241302292532328e-9,7.168961962586838e-9,1.3310770782589386e-8
types/ByteArray/BreakElem/bs200/ByteString,5.1705415993992e-7,5.08011200283587e-7,5.277710275368906e-7,3.181368753244242e-8,2.6926236662079748e-8,3.951845053140118e-8
types/ByteArray/BreakElem/bs2000/UArray_W8,1.557532198669233e-7,1.5336916461860562e-7,1.5801720492037692e-7,7.408541763107706e-9,6.3894068308558e-9,9.021392056419431e-9
types/ByteArray/BreakElem/bs2000/ByteString,5.274565695488685e-7,5.170204587734869e-7,5.415141435346874e-7,3.922509795028318e-8,3.034599951217755e-8,5.378569919118245e-8
types/ByteArray/BreakElem/bs20/UArray_W8,2.8534005681201228e-8,2.808727271482864e-8,2.902428317536123e-8,1.5540706554549782e-9,1.3843860016561154e-9,1.7985531457816123e-9
types/ByteArray/BreakElem/bs20/ByteString,7.200312099238867e-8,7.092074556773419e-8,7.319875559961456e-8,3.902878391854534e-9,3.2877592272052317e-9,4.982070961867294e-9
types/ByteArray/BreakElem/bs200/UArray_W8,1.5632081374445294e-7,1.537952879791697e-7,1.5927071812674128e-7,9.504247835192814e-9,7.700693146069816e-9,1.2196008574197722e-8
types/ByteArray/BreakElem/bs200/ByteString,5.266205914357668e-7,5.187205168953714e-7,5.365583453639708e-7,2.896076541758565e-8,2.451752902018429e-8,3.674861136040909e-8
types/ByteArray/BreakElem/bs2000/UArray_W8,1.3500140473231463e-6,1.3211908143498929e-6,1.3863537306414064e-6,1.1028057732901099e-7,8.716739022570344e-8,1.4071940778917805e-7
types/ByteArray/BreakElem/bs2000/ByteString,4.949457164588881e-6,4.870711474112159e-6,5.034995707723763e-6,2.7330223884115365e-7,2.4004491492570194e-7,3.264979355206928e-7
types/ByteArray/Reverse/bs20/UArray_W8,1.431236136759009e-7,1.4066806640739971e-7,1.457027971550279e-7,7.845991592890565e-9,6.863212028051037e-9,9.235293047044276e-9
types/ByteArray/Reverse/bs20/ByteString,3.3175857834354965e-8,3.2695767792256814e-8,3.3785047923789716e-8,1.89627626171103e-9,1.5225671062927012e-9,2.6160920544343792e-9
types/ByteArray/Reverse/bs200/UArray_W8,2.897763057887616e-7,2.8541890546134017e-7,2.9574046450102556e-7,1.7738021067908762e-8,1.413966435805644e-8,2.1918846895238588e-8
types/ByteArray/Reverse/bs200/ByteString,1.3571181778927085e-7,1.3329718088649708e-7,1.3915493480205584e-7,9.30097827349303e-9,7.122833542971141e-9,1.3162994191585427e-8
types/ByteArray/Reverse/bs2000/UArray_W8,1.6525419986713326e-6,1.6296989504524395e-6,1.677949038040579e-6,8.266046877952097e-8,6.578700013298604e-8,1.0981403705337059e-7
types/ByteArray/Reverse/bs2000/ByteString,1.0788334355533774e-6,1.059171941578774e-6,1.0990510238445442e-6,7.031115091024236e-8,5.694010502635912e-8,9.10972210087611e-8
types/ByteArray/Filter/bs20/UArray_W8,5.710356111297972e-7,5.601719049256835e-7,5.851370150198068e-7,4.2347824033503654e-8,3.337506962891323e-8,5.776905848453268e-8
types/ByteArray/Filter/bs20/ByteString,1.441006024541396e-7,1.4215563660697695e-7,1.466980645250004e-7,7.516474509376188e-9,5.94547787634031e-9,1.1525678645437407e-8
types/ByteArray/Filter/bs200/UArray_W8,9.121620880165045e-6,8.972529634052393e-6,9.25957617201103e-6,4.576152210059865e-7,3.9528603788319025e-7,5.214559389736515e-7
types/ByteArray/Filter/bs200/ByteString,1.0819553086011235e-6,1.066072739724386e-6,1.0953443771999007e-6,4.8112959013437826e-8,4.0926765866500326e-8,5.8221942476448216e-8
types/ByteArray/Filter/bs2000/UArray_W8,1.1165423758880685e-4,1.1013435029317603e-4,1.1320904312737697e-4,5.575443652772345e-6,4.659181185904596e-6,6.801415337465731e-6
types/ByteArray/Filter/bs2000/ByteString,1.0204384357807388e-5,1.006205256826732e-5,1.034915640014522e-5,5.00516179732713e-7,4.337198299600601e-7,6.06960704625621e-7
